|name|ra|dec|cluster_radius|rad_vel|rad_vel_error|num_cluster_stars|distance|log_age|log_age_error|
|FSR 1163         |06 59 20|-09 05.0|0.09|        |             |60|1706|9.15|             |
|FSR 1203         |07 43 41|-08 01.2|0.165|        |             |77|1935|9.265|             |
|FSR 1105         |06 09 59|-07 59.1|0.135|        |             |52|1581|8.63|             |
|NGC 2215         |06 20 53|-07 17.7|0.325|  -10.74|         0.66|293|1141|8.55|             |
|NGC 2306         |06 54 25|-07 12.3|0.22|        |             |169|1249|9.0|             |
|FSR 1160         |07 11 10|-07 07.0|0.135|        |             |56|1031|8.505|             |
|NGC 2302         |06 51 52|-07 04.8|0.17|        |             |149|1310|8.35|             |
|FSR 1066         |05 47 24|-06 51.9|0.22|        |             |86|1656|9.025|             |
|FSR 1158         |07 10 48|-06 46.8|0.16|        |             |133|1864|8.555|             |
|FSR 1144         |06 57 16|-06 38.2|0.13|        |             |131|1737|8.18|             |
|FSR 1094         |06 09 59|-06 19.2|0.16|        |             |61|1627|8.85|             |
|NGC 2183         |06 10 48|-06 12.0|0.39|   10.30|             |164|1047|7.15|             |
|Haffner 3        |07 04 07|-06 07.8|0.11|        |             |98|1925|8.6|             |
|FSR 1078         |06 01 15|-06 05.1|0.18|        |             |54|1661|9.235|             |
|NGC 2548         |08 13 44|-05 46.2|0.72|   41.50|         0.30|596|789|8.72|        0.017|
|NGC 2250         |06 33 41|-05 04.8|0.165|        |             |94|1338|8.495|             |
|FSR 1129         |06 58 46|-04 55.8|0.135|        |             |74|1881|8.385|             |
|NGC 2232         |06 27 58|-04 47.7|0.38|   19.85|         4.54|110|330|7.7|             |
|ASCC 27          |06 53 56|-04 23.4|0.24|        |             |193|1159|8.7|             |
|ASCC 27          |06 53 56|-04 23.4|0.24|        |             |193|1159|8.7|             |
|IRAS 06567-0355  |06 59 17|-03 58.2|0.15|   39.64|             |143|1943|7.35|             |
|FSR 1099         |06 34 30|-03 50.4|0.14|        |             |91|1952|8.635|             |
|FSR 1092         |06 37 42|-02 49.1|0.16|        |             |109|1922|8.8|             |
|ASCC 19          |05 27 41|-01 57.9|0.52|   19.80|         3.17|114|314|7.5|             |
|Collinder 70     |05 35 47|-00 52.8|0.88|   19.87|         2.19|411|379|7.4|             |
|FSR 1065         |06 36 05|-00 40.0|0.125|        |             |112|1551|8.79|             |
|MWSC 4288        |16 44 11|-00 08.1|0.35|        |             |87|1994|9.015|        0.038|
|NGC 2112         |05 53 44|+00 24.8|0.62|   39.00|         9.23|584|977|9.315|             |
|ASCC 22          |06 14 31|+00 39.6|0.205|   90.30|         3.54|64|771|8.455|             |
|FSR 1080         |06 58 16|+00 53.0|0.15|        |             |122|1753|8.37|             |
|ASCC 18          |05 26 15|+00 54.0|0.44|   24.40|        10.50|94|313|7.15|             |
|NGC 2189         |06 12 07|+01 03.3|0.15|        |             |102|1468|9.175|        0.078|
|FSR 1147         |08 00 20|+01 15.6|0.21|        |             |53|1508|8.72|        0.016|
|Collinder 350    |17 48 13|+01 21.6|0.55|  -14.38|         0.20|189|302|8.71|        0.015|
|FSR 1091         |07 11 37|+01 36.3|0.15|        |             |91|1952|8.865|        0.038|
|ASCC 16          |05 24 09|+01 38.4|0.66|   30.00|             |267|397|7.0|             |
|ASCC 20          |05 28 45|+01 38.4|0.725|   22.97|         4.80|188|394|7.0|             |
|Collinder 91     |06 21 50|+02 22.4|0.255|  -11.84|             |271|1467|8.64|        0.036|
|Berkeley 28      |06 52 08|+02 54.6|0.12|        |             |85|1964|7.535|             |
|FSR 1033         |06 28 21|+02 56.1|0.12|        |             |65|1710|8.515|             |
