field1|name|ra|dec|cluster_radius|rad_vel|rad_vel_error|num_cluster_stars|distance|log_age|log_age_error|field12
|ASCC 49|08 47 51|-38 00.0|0.27|||216|629|7.895||
|ASCC 5|00 57 38|+55 51.3|0.19|-43.00|3.70|85|523|7.78||
|ASCC 50|08 50 22|-41 43.2|0.25|17.13|8.67|349|846|7.8||
|ASCC 51|09 18 05|-69 41.4|0.45|||157|496|8.54|0.074|
|ASCC 53|09 38 10|-59 27.6|0.265|||278|1786|8.0||
|ASCC 54|09 44 47|-54 26.1|0.18|||227|1751|8.865||
|ASCC 55|09 54 00|-57 04.6|0.275|||504|970|8.45||
|ASCC 56|10 08 19|-64 22.8|0.32|||317|797|8.635|0.050|
|ASCC 57|10 10 55|-66 42.0|0.215|||257|1483|9.26|0.036|
|ASCC 58|10 15 02|-54 58.2|0.31|8.00|3.70|149|564|7.2||
|ASCC 59|10 20 28|-57 40.5|0.33|||219|509|8.46||
|ASCC 6|01 47 17|+57 40.8|0.19|-20.00|7.40|205|1350|7.8||
|ASCC 60|10 33 09|-58 28.9|0.17|-14.50|7.40|172|1122|8.125||
|ASCC 61|10 46 10|-56 50.4|0.15|||111|1702|7.665|0.001|
|ASCC 64|11 03 04|-60 54.9|0.19|1.40|0.10|163|1700|8.1|0.136|
|ASCC 65|11 10 59|-61 07.5|0.22|-13.40|3.52|184|1934|6.85||
|ASCC 66|11 13 34|-55 26.4|0.2|||175|1032|7.76||
|ASCC 67|11 41 28|-61 00.6|0.22|-18.60|7.60|335|1500|7.67||
|ASCC 68|12 02 51|-60 55.2|0.3|||537|920|8.6||
|ASCC 69|12 06 18|-69 46.8|0.275|2.00|11.00|239|774|7.91||
|ASCC 71|12 20 46|-67 31.8|0.235|-17.90|4.20|228|1209|8.0||
|ASCC 72|12 33 05|-60 55.8|0.18|||140|1229|8.205||
|ASCC 73|12 36 22|-67 15.0|0.245|-15.80|2.00|125|650|8.19||
|ASCC 74|13 35 49|-58 48.6|0.18|||77|550|8.63|0.048|
|ASCC 76|13 52 14|-66 24.3|0.22|-14.00|9.00|174|1025|7.75||
|ASCC 79|15 18 40|-60 37.8|0.51|4.53|2.65|703|871|6.95||
|ASCC 8|02 20 46|+59 41.4|0.24|-12.89||346|1801|7.77||
|ASCC 80|15 24 45|-60 07.7|0.315|-25.00|20.00|688|1281|8.375||
|ASCC 81|15 46 46|-50 59.7|0.16|||270|850|8.75||
|ASCC 82|15 47 02|-64 24.7|0.21|||135|800|8.6||
|ASCC 83|15 50 04|-52 47.4|0.17|||175|619|8.1||
|ASCC 84|15 54 56|-60 44.7|0.2|-5.00|0.01|206|884|7.85||
