field1|name|ra|dec|cluster_radius|rad_vel|rad_vel_error|num_cluster_stars|distance|log_age|log_age_error|field12
|NGC 2432|07 40 54|-19 05.1|0.16|14.40|1.80|148|1589|8.65||
|NGC 2437|07 41 49|-14 48.3|0.57|30.43|4.50|1688|1375|8.35||
|NGC 2447|07 44 35|-23 51.6|0.5|21.31|0.67|882|1037|8.68|0.022|
|NGC 2448|07 44 34|-24 39.9|0.18|19.59|3.26|37|1040|7.25||
|NGC 2451A|07 41 20|-38 31.2|1.3|22.63|4.49|297|188|7.76||
|NGC 2451B|07 44 28|-37 40.2|0.41|13.70|7.13|215|489|8.23||
|NGC 2455|07 49 02|-21 17.5|0.14|||108|1711|8.72||
|NGC 2477|07 52 08|-38 31.8|0.45|7.32|0.13|1209|1450|8.915|0.007|
|NGC 2479|07 55 08|-17 43.8|0.24|||167|1363|9.015|0.016|
|NGC 2482|07 55 10|-24 16.5|0.21|38.17|0.30|145|1344|8.505|0.086|
|NGC 2483|07 55 41|-27 54.3|0.115|||52|1649|7.6||
|NGC 2509|08 00 47|-19 03.0|0.185|||176|1711|9.2||
|NGC 2516|07 57 58|-60 45.0|0.71|21.22|1.08|698|373|8.475||
|NGC 2527|08 05 06|-28 10.2|0.34|39.60|0.10|96|642|8.91|0.031|
|NGC 2539|08 10 41|-12 50.4|0.44|26.12|1.70|455|1232|8.735|0.022|
|NGC 2546|08 11 51|-37 36.6|0.565|36.00|4.10|1267|935|8.135|0.072|
|NGC 2547|08 09 55|-49 12.3|0.3|14.78|1.94|174|361|7.89||
|NGC 2548|08 13 44|-05 46.2|0.72|41.50|0.30|596|789|8.72|0.017|
|NGC 2567|08 18 34|-30 39.0|0.17|35.79|3.79|165|1678|8.645|0.068|
|NGC 2571|08 18 57|-29 44.1|0.19|27.00|0.25|116|1339|7.35||
|NGC 2609|08 29 32|-61 06.0|0.085|||24|1481|8.48||
|NGC 2632|08 40 23|+19 41.4|3.1|33.42|0.52|511|187|8.92||
|NGC 2659|08 42 34|-44 59.1|0.12|||159|1713|7.36|0.082|
|NGC 2664|08 47 22|+12 36.0|0.19|87.90|3.90|27|1659|8.29||
|NGC 2669|08 46 28|-52 56.4|0.275|21.06|0.15|442|1057|8.405||
|NGC 2670|08 45 34|-48 49.2|0.11|17.20|0.83|80|1294|8.14||
|NGC 2671|08 46 13|-41 52.0|0.185|||328|1309|8.53||
|NGC 2682|08 51 23|+11 48.9|1.03|33.58|0.19|907|890|9.535|0.009|
|NGC 2910|09 30 29|-52 55.5|0.125|||168|1882|7.2||
|NGC 2925|09 33 09|-53 22.3|0.27|16.00|7.40|270|774|7.805||
|NGC 2972|09 40 14|-50 19.5|0.11|20.89|0.26|93|1778|8.73|0.060|
|NGC 3033|09 48 31|-56 25.5|0.125|26.73|0.10|107|1020|8.62||
|NGC 3036|09 49 16|-62 40.2|0.14|11.78|0.75|74|1268|8.99||
|NGC 3114|10 01 55|-60 06.6|0.345|-1.40|0.70|496|944|8.3||
|NGC 3228|10 21 25|-51 43.8|0.18|-22.39|0.15|53|573|8.42||
|NGC 3330|10 38 46|-54 06.9|0.145|||132|1250|8.565|0.039|
|NGC 3496|10 59 37|-60 20.4|0.18|-6.28|3.82|152|1359|8.895|0.023|
|NGC 3532|11 05 49|-58 43.8|0.425|1.20|0.72|392|454|8.65||
|NGC 3572|11 10 25|-60 15.0|0.12|-7.95|2.42|66|1997|6.925||
|NGC 3590|11 13 02|-60 46.5|0.165|-7.33|6.44|247|1660|7.4||
|NGC 3680|11 25 37|-43 14.1|0.19|2.40|2.65|100|946|9.2||
|NGC 3766|11 36 18|-61 36.9|0.23|-14.80|1.72|366|1685|7.95||
|NGC 381|01 08 26|+61 34.7|0.18|-22.00|6.00|233|1200|8.85|0.029|
|NGC 3909|11 50 06|-48 12.6|0.17|||103|1792|9.515|0.101|
|NGC 3960|11 50 38|-55 40.2|0.17|-22.56|0.17|131|1884|9.11||
|NGC 4052|12 01 16|-63 12.9|0.15|||197|1210|8.4||
|NGC 4103|12 06 40|-61 15.0|0.21|-12.00|7.40|421|1659|7.755||
|NGC 433|01 15 12|+60 07.4|0.14|-36.91|0.18|151|1650|7.81||
|NGC 4439|12 28 28|-60 06.6|0.125|||115|1659|7.71||
|NGC 4463|12 29 56|-64 47.4|0.14|-24.52|6.37|133|1115|7.97||
|NGC 4609|12 42 18|-62 59.4|0.155|22.00|7.00|149|1308|8.1|0.062|
|NGC 4852|13 00 11|-59 35.4|0.155|-5.00|3.70|187|1106|8.635|0.060|
|NGC 5043|13 16 05|-60 03.9|0.17|||158|860|8.6||
|NGC 5045|13 14 31|-63 25.2|0.315|-16.76|7.22|409|1662|7.955|0.159|
|NGC 5138|13 27 11|-59 01.8|0.14|-9.58|0.57|95|1819|7.55||
|NGC 5155|13 29 53|-63 27.3|0.165|-37.10||108|1404|7.4||
|NGC 5168|13 31 05|-60 56.4|0.12|||76|1727|8.25||
|NGC 5269|13 44 44|-62 53.5|0.16|||190|1634|8.52|0.100|
|NGC 5281|13 46 34|-62 55.5|0.215|-18.52|0.75|371|1211|7.76||
|NGC 5284|13 46 25|-59 12.0|0.21|||146|1577|7.0||
|NGC 5299|13 50 26|-59 56.7|0.11|||139|1847|8.7||
|NGC 5316|13 53 56|-61 52.2|0.26|-15.10|0.28|570|1208|8.23||
|NGC 5381|14 00 40|-59 36.3|0.16|||354|1949|8.65||
|NGC 5593|14 25 37|-54 48.0|0.135|||129|808|8.77||
|NGC 5617|14 29 47|-60 42.9|0.145|-35.77|0.47|175|1769|8.25||
|NGC 5715|14 43 30|-57 34.0|0.115|||126|1490|8.97|0.028|
|NGC 5749|14 48 47|-54 29.1|0.21|||317|1014|8.0||
|NGC 5822|15 04 28|-54 23.4|0.55|-21.17|4.56|1817|794|8.84|0.013|
|NGC 5823|15 05 31|-55 35.7|0.11|-19.80|0.20|161|1189|8.96|0.025|
|NGC 5925|15 27 34|-54 31.0|0.135|||143|1555|8.25||
|NGC 5999|15 52 10|-56 28.0|0.1|||42|1629|8.6|0.095|
|NGC 6005|15 55 59|-57 26.4|0.13|||45|1802|9.06|0.015|
|NGC 6031|16 07 39|-54 01.1|0.14|-2.48|1.34|146|1278|8.195|0.024|
|NGC 6067|16 13 12|-54 13.2|0.235|-37.28|3.02|285|1793|7.97||
|NGC 6124|16 25 16|-40 39.0|0.455|-21.07|0.19|1631|559|8.285||
|NGC 6134|16 27 49|-49 09.3|0.22|-26.00|0.20|433|892|9.015|0.019|
|NGC 6152|16 32 42|-52 38.4|0.19|||170|1031|8.63|0.045|
|NGC 6167|16 34 41|-49 47.1|0.21|-34.40|1.50|471|1216|8.19||
|NGC 6169|16 34 07|-44 01.0|0.11|6.30||60|1007|7.5||
|NGC 6178|16 35 47|-45 37.5|0.19|3.54|2.15|143|1011|7.51||
|NGC 6192|16 40 21|-43 21.6|0.235|-7.72|0.38|280|1619|8.15||
|NGC 6193|16 41 22|-48 45.3|0.23|-39.97|3.64|205|1158|6.7||
|NGC 6204|16 46 08|-47 01.2|0.145|-34.91|8.09|144|1085|8.0||
|NGC 6208|16 49 23|-53 42.9|0.21|-32.21|0.28|176|926|9.28||
|NGC 6249|16 57 36|-44 48.0|0.19|-37.63|2.77|285|1113|8.09|0.202|
|NGC 6253|16 59 05|-52 42.0|0.18|-29.40|1.30|255|1511|9.7||
|NGC 6259|17 00 54|-44 41.4|0.17|-33.70|0.19|254|1855|8.475||
|NGC 6268|17 02 08|-39 42.9|0.185|-15.11|0.08|237|1105|8.65|0.042|
|NGC 6281|17 04 41|-37 58.8|0.32|-15.43||415|512|8.5|0.062|
|NGC 6318|17 16 11|-39 25.0|0.11|||66|1841|7.8||
|NGC 6396|17 37 37|-35 01.3|0.1|-29.00|2.50|13|1168|7.505||
|NGC 6400|17 40 12|-36 56.7|0.19|||174|938|8.875||
|NGC 6405|17 40 19|-32 12.9|0.45|-9.80|2.64|164|356|8.035|0.106|
|NGC 6416|17 44 22|-32 21.9|0.24|-27.52|9.94|45|767|8.2||
|NGC 6425|17 46 59|-31 31.8|0.155|-3.46|0.20|25|1012|8.545|0.022|
|NGC 6444|17 49 30|-34 49.5|0.19|||37|1217|9.015||
|NGC 6469|17 53 13|-22 18.9|0.235|||83|690|8.875||
|NGC 6475|17 53 46|-34 46.8|0.7|-12.61|1.04|857|303|8.25||
|NGC 6481|17 52 48|+04 10.0|0.125|||41|1836|9.56||
|NGC 6494|17 56 55|-19 00.0|0.55|-8.60|0.40|578|648|8.515|0.027|
|NGC 6520|18 03 27|-27 53.7|0.155|-26.00|2.65|32|1472|7.755|0.216|
|NGC 6531|18 04 12|-22 29.4|0.19|-14.71|5.12|102|1194|6.82||
|NGC 654|01 43 59|+61 54.0|0.16|-38.79|2.50|179|1786|7.25||
|NGC 6546|18 07 30|-23 19.5|0.205|-29.41|11.16|96|938|8.72||
|NGC 6554|18 08 55|-18 26.6|0.22|15.00||106|1775|8.62|0.043|
|NGC 6568|18 12 43|-21 36.0|0.266|||282|861|8.8|0.025|
|NGC 657|01 43 24|+55 50.4|0.095|||38|1934|9.0||
|NGC 6583|18 15 49|-22 08.0|0.1|3.00|0.40|21|1753|9.0||
|NGC 6596|18 17 31|-16 39.0|0.2|||122|932|8.6||
|NGC 6604|18 18 02|-12 14.3|0.265|9.60|7.05|260|1895|6.89||
|NGC 6605|18 18 25|-14 57.9|0.185|||51|1144|8.8||
|NGC 6625|18 22 47|-11 57.3|0.165|||68|1335|8.7||
|NGC 6633|18 27 21|+06 30.0|0.365|-25.43|3.79|145|385|8.76||
|NGC 6639|18 30 58|-13 08.4|0.17|7.00|1.80|119|765|8.93||
|NGC 6645|18 32 31|-16 54.6|0.15|||104|1245|8.61|0.018|
|NGC 6649|18 33 22|-10 24.0|0.18|-8.80|0.80|192|1564|8.1||
|NGC 6659|18 34 08|+23 35.9|0.165|||86|1965|9.43|0.033|
|NGC 6664|18 36 32|-08 12.6|0.14|17.80|1.00|42|1708|7.9||
|NGC 6682|18 39 39|-04 48.0|0.11|||52|1304|6.5||
|NGC 6683|18 42 13|-06 12.0|0.11|||26|1441|6.75||
|NGC 6694|18 45 16|-09 22.8|0.165|4.00|7.40|143|1748|8.12|0.029|
|NGC 6705|18 50 59|-06 16.8|0.35|32.53|1.13|475|1750|8.505|0.031|
|NGC 6709|18 51 23|+10 19.8|0.22|-12.80|4.62|279|1075|8.15||
|NGC 6716|18 54 34|-19 53.1|0.18|6.00|7.40|74|669|7.385||
|NGC 6728|18 58 44|-08 57.9|0.13|||77|1127|8.95||
|NGC 6738|19 01 21|+11 36.0|0.14|-34.90|0.90|99|686|9.515|0.119|
|NGC 6756|19 08 45|+04 43.0|0.11|||131|1951|8.4||
|NGC 6793|19 23 18|+22 08.4|0.22|||133|724|8.695||
|NGC 6800|19 27 04|+25 07.5|0.18|||96|1082|8.56|0.033|
|NGC 6802|19 30 36|+20 16.3|0.155|||267|1775|8.955|0.022|
|NGC 6811|19 37 22|+46 23.7|0.2|6.05|0.95|138|1227|8.805|0.017|
|NGC 6823|19 43 08|+23 18.0|0.2|10.50|6.50|226|1764|7.01||
|NGC 6828|19 50 15|+07 54.3|0.215|-21.00||64|603|8.25||
|NGC 6830|19 51 00|+23 06.0|0.14|-30.90|0.90|154|1841|8.105|0.062|
|NGC 6856|19 59 17|+56 07.0|0.1|||14|1202|9.01||
|NGC 6866|20 03 57|+44 09.6|0.15|13.68|0.06|209|1326|8.64|0.027|
|NGC 6871|20 06 00|+35 46.2|0.26|-10.54|2.25|335|1791|6.99||
|NGC 6882|20 11 48|+26 48.6|0.225|-15.07|4.36|145|432|8.2||
|NGC 6883|20 11 20|+35 49.8|0.16|-10.33|4.33|275|1380|7.71|0.059|
|NGC 6895|20 16 08|+50 14.7|0.15|||140|1935|9.33||
|NGC 6910|20 23 15|+40 47.7|0.175|-32.76|2.70|280|1127|7.53|0.026|
|NGC 6913|20 24 00|+38 30.6|0.12|-19.62|1.90|80|1173|7.51||
|NGC 6939|20 31 32|+60 39.6|0.32|-42.00|2.00|668|1800|9.27||
|NGC 6940|20 34 26|+28 16.8|0.4|4.66|2.32|387|844|8.98|0.024|
|NGC 6989|20 53 58|+45 14.4|0.19|-28.00|3.70|389|1905|8.75|0.037|
|NGC 7024|21 06 13|+41 29.7|0.155|||173|1513|8.425|0.052|
|NGC 7031|21 07 06|+50 52.5|0.17|0.24|0.20|386|1100|8.2||
|NGC 7036|21 10 02|+15 31.0|0.15|||22|1069|9.45||
|NGC 7039|21 11 03|+45 44.0|0.29|-11.60|0.60|623|1550|8.655|0.069|
|NGC 7050|21 15 13|+36 09.9|0.093|||23|1685|9.19|0.044|
|NGC 7055|21 19 34|+57 36.4|0.1|||33|1948|8.4||
|NGC 7062|21 23 27|+46 23.4|0.13|||136|1600|8.84|0.026|
|NGC 7063|21 24 32|+36 29.7|0.205|||96|689|7.955||
|NGC 7082|21 28 48|+47 06.6|0.325|-9.10||832|1300|8.002|0.170|
|NGC 7084|21 32 13|+17 34.5|0.2|||44|1259|9.425||
|NGC 7086|21 30 27|+51 36.5|0.14|-5.60|1.70|275|1600|8.065|0.131|
|NGC 7092|21 31 48|+48 27.0|0.9|-8.62|2.97|100|310|8.569|0.054|
|NGC 7129|21 42 54|+66 06.6|0.068|||9|1046|7.15||
|NGC 7160|21 53 40|+62 36.6|0.22|-26.28|3.88|71|800|7.2||
|NGC 7209|22 04 54|+46 33.1|0.23|-9.70||258|1250|8.629||
|NGC 7243|22 15 11|+49 52.5|0.6|-12.61|2.47|773|850|7.965|0.071|
|NGC 7281|22 25 04|+57 49.2|0.18|||191|1600|7.86||
|NGC 7429|22 55 53|+59 57.6|0.125|||118|1250|8.08||
|NGC 743|01 58 37|+60 09.4|0.17|-6.50|4.50|215|1100|8.29|0.090|
|NGC 7438|22 57 22|+54 22.5|0.25|-17.00|3.70|223|1000|8.8|0.028|
|NGC 744|01 58 35|+55 28.7|0.345|||629|1382|8.375||
|NGC 752|01 57 05|+37 47.4|1.4|4.67|0.75|402|450|9.13||
|NGC 7654|23 24 42|+61 38.2|0.325|-40.00|5.60|1137|1350|7.9||
|NGC 7708|23 36 18|+72 51.1|0.195|||110|1952|8.76||
|NGC 7762|23 49 52|+68 01.5|0.213|||276|780|9.32|0.019|
|NGC 7772|23 51 46|+16 14.7|0.45|-31.50|9.43|21|1250|9.162|0.010|
|NGC 7789|23 57 25|+56 43.8|0.415|-54.71|0.13|1430|1800|9.265|0.009|
|NGC 7801|00 00 20|+50 43.6|0.156|||65|1953|9.255||
|NGC 886|02 23 27|+63 45.3|0.17|||145|1000|8.75||
|NGC 957|02 33 31|+57 34.4|0.29|-40.88|3.00|568|1900|7.25||
|PTB 9|23 50 01|+68 02.0|0.295|||343|850|9.07|0.020|
|Patchick 103|20 34 56|+53 17.8|0.075|||30|1332|8.95||
|Patchick 75|20 15 02|+33 55.3|0.11|||178|1928|9.06||
|Pismis 14|09 29 53|-52 46.8|0.1|||114|1775|8.355||
|Pismis 16|09 51 15|-53 10.4|0.075|21.00|9.00|55|1949|7.1||
|Pismis 19|14 30 36|-60 53.1|0.12|||109|1978|9.015|0.049|
|Pismis 20|15 15 23|-59 04.0|0.085|-69.55|2.35|76|1501|7.5||
|Pismis 21|15 16 44|-59 39.3|0.11|-41.20|0.69|133|1174|8.11||
|Pismis 27|06 10 55|+20 36.9|0.1|||56|1664|8.25|0.203|
|Pismis 3|08 31 16|-38 39.5|0.205|||449|1418|8.925|0.030|
|Pismis 5|08 37 40|-39 34.8|0.135|||53|702|7.3||
|Pismis 6|08 39 04|-46 14.1|0.18|16.76|4.00|276|1668|7.58||
|Pismis 8|08 41 39|-46 16.0|0.115|||122|1363|7.43||
|Pismis-Moreno 1|22 18 25|+63 13.3|0.225|-23.25|0.25|113|800|7.4||
|Platais 10|13 41 10|-59 13.5|1.0|-8.00|7.40|329|246|8.34||
|Platais 12|13 52 35|-63 24.3|0.57|-11.99|9.51|751|491|8.4||
|Platais 4|05 06 52|+22 34.4|0.66|13.80|5.08|187|275|8.55||
|RMC-4b|06 34 14|+04 27.6|0.1|||17|1174|8.29||
|Riddle 6|21 11 48|+59 57.9|0.065|-16.80|0.60|16|1198|7.1||
|Roslund 1|19 45 07|+17 30.6|0.135|||69|788|8.765|0.019|
|Roslund 2|19 45 16|+23 54.0|0.18|-5.00|6.00|251|1668|6.78||
|Roslund 3|19 58 39|+20 30.8|0.14|-2.60|0.32|174|1582|7.7||
|Roslund 5|20 10 23|+33 46.8|0.415|-17.58|2.01|817|508|7.57||
|Roslund 7|20 52 23|+37 54.0|0.28|-22.00|3.00|326|736|8.6|0.072|
|Ruprecht 1|06 36 32|-14 11.6|0.14|||71|1204|8.79||
|Ruprecht 102|12 13 34|-62 43.8|0.16|||252|1609|7.5||
|Ruprecht 103|12 16 55|-58 25.0|0.115|||79|1298|9.11||
|Ruprecht 105|12 33 54|-61 34.5|0.195|||312|1250|9.1||
|Ruprecht 107|13 19 46|-64 57.0|0.075|-45.40|0.22|25|1454|8.235||
|Ruprecht 108|13 32 13|-58 27.9|0.17|||144|935|8.675||
|Ruprecht 11|07 07 22|-20 47.7|0.1|||44|1958|8.8||
|Ruprecht 110|14 05 38|-67 28.5|0.185|-34.36|1.51|182|1241|8.7||
|Ruprecht 111|14 36 00|-59 58.8|0.14|||187|1560|8.92|0.026|
|Ruprecht 112|14 56 56|-62 34.4|0.16|||195|1764|8.74||
|Ruprecht 113|15 57 32|-59 29.7|0.45|||756|810|8.345|0.215|
|Ruprecht 115|16 12 58|-52 25.6|0.14|||89|1948|9.135|0.036|
|Ruprecht 116|16 23 24|-52 00.0|0.13|||62|895|8.95||
|Ruprecht 117|16 23 26|-51 52.8|0.08|||25|937|8.95||
|Ruprecht 118|16 24 43|-51 56.4|0.14|||69|974|8.94|0.028|
|Ruprecht 119|16 28 12|-51 30.6|0.13|-11.21|1.34|107|1105|8.435||
|Ruprecht 120|16 35 10|-48 18.0|0.115|||75|1476|8.45||
|Ruprecht 121|16 41 47|-46 09.0|0.24|-16.40|0.20|234|1239|8.425||
|Ruprecht 123|17 23 31|-37 55.5|0.155|||148|929|8.1||
|Ruprecht 125|17 29 40|-40 27.0|0.16|||94|1188|8.825||
|Ruprecht 127|17 37 52|-36 18.2|0.09|-28.95|0.05|29|1435|7.55||
|Ruprecht 129|17 47 18|-29 37.0|0.105|4.00||15|1526|7.5||
|Ruprecht 131|17 49 12|-29 14.1|0.165|||32|614|9.17||
|Ruprecht 137|17 59 55|-25 12.9|0.16|||59|1405|8.795|0.045|
|Ruprecht 138|17 59 58|-24 41.9|0.11|||27|1134|8.9||
|Ruprecht 139|18 00 59|-23 32.1|0.155|||74|593|9.05||
|Ruprecht 142|18 32 13|-12 12.9|0.1|||34|1802|8.53||
|Ruprecht 144|18 33 31|-11 24.6|0.12|||42|1649|8.795|0.052|
|Ruprecht 145|18 50 38|-18 13.6|0.24|-8.77|5.16|98|770|8.9||
|Ruprecht 146|18 52 28|-21 05.1|0.14|||72|1735|9.1||
|Ruprecht 147|19 16 22|-16 15.0|1.33|41.00||170|270|9.33||
|Ruprecht 150|07 05 58|-28 24.6|0.14|||65|1789|8.7||
|Ruprecht 151|07 41 17|-16 17.4|0.15|33.47|3.87|80|1490|8.15||
|Ruprecht 16|07 23 10|-19 28.4|0.1|||47|1701|8.65||
|Ruprecht 161|10 09 11|-61 15.6|0.24|9.40|3.70|149|976|8.45||
|Ruprecht 164|11 30 50|-60 45.0|0.15|-3.00|7.40|70|1297|7.7||
|Ruprecht 167|14 18 22|-58 59.3|0.2|||335|1609|7.245||
|Ruprecht 17|07 23 38|-23 11.1|0.105|||72|1263|8.325||
|Ruprecht 171|18 32 06|-16 00.6|0.1|||66|1159|9.55||
|Ruprecht 172|20 11 49|+35 39.9|0.15|||279|1803|9.065|0.025|
|Ruprecht 173|20 41 49|+35 35.1|0.17|||264|1791|8.8||
|Ruprecht 174|20 43 25|+37 00.7|0.12|||105|1817|8.9||
|Ruprecht 18|07 24 43|-26 12.6|0.125|31.03|0.35|99|1499|8.455|0.023|
|Ruprecht 19|07 25 50|-21 33.8|0.115|||87|1797|8.0||
|Ruprecht 20|07 26 34|-28 48.0|0.115|29.89|0.04|53|1871|9.4||
|Ruprecht 22|07 29 18|-29 11.0|0.09|||31|1609|9.03||
|Ruprecht 24|07 31 55|-12 45.9|0.17|||135|1706|8.65||
|Ruprecht 26|07 37 10|-15 39.6|0.21|17.79|3.50|191|1456|7.8||
|Ruprecht 27|07 37 42|-26 30.4|0.235|10.90|1.20|68|576|8.41||
|Ruprecht 3|06 42 05|-29 26.7|0.14|||39|1259|9.1||
|Ruprecht 31|07 42 59|-35 35.6|0.11|||27|541|8.65||
|Ruprecht 33|07 45 56|-21 55.2|0.13|||104|1558|8.81||
|Ruprecht 34|07 45 57|-20 23.1|0.125|||30|893|9.1||
|Ruprecht 36|07 48 23|-26 17.4|0.09|||43|1821|8.28||
|Ruprecht 40|07 33 28|-20 30.6|0.075|||22|1836|8.265||
|Ruprecht 42|07 57 39|-25 56.1|0.115|||60|1964|8.7||
|Ruprecht 43|07 59 17|-28 52.2|0.155|113.37|5.77|57|970|8.4||
|Ruprecht 45|07 59 30|-16 18.3|0.1|||27|1888|9.3||
|Ruprecht 46|08 02 11|-19 27.9|0.095|||14|1467|8.15||
|Ruprecht 49|08 03 13|-26 46.2|0.075|||28|1748|8.22||
|Ruprecht 50|08 03 31|-30 51.6|0.1|||38|1834|8.775|0.028|
|Ruprecht 52|08 05 13|-31 58.2|0.13|||58|1609|8.55||
|Ruprecht 53|08 10 43|-26 56.4|0.17|||75|1523|8.86||
|Ruprecht 56|08 12 40|-40 29.1|0.305|||123|429|8.745||
|Ruprecht 57|08 15 11|-26 58.2|0.1|||29|1764|8.975||
|Ruprecht 64|08 37 05|-40 11.1|0.45|26.90|5.90|762|619|8.45||
|Ruprecht 65|08 39 16|-44 04.2|0.155|||106|786|8.82||
|Ruprecht 67|08 41 46|-43 23.7|0.17|-15.40|0.80|227|1342|8.6||
|Ruprecht 71|08 49 21|-46 52.7|0.155|||192|1300|8.84||
|Ruprecht 73|09 01 10|-50 55.0|0.075|||43|1621|8.88||
|Ruprecht 76|09 24 16|-51 39.6|0.12|18.00||136|1332|8.15||
|Ruprecht 78|09 29 02|-53 42.6|0.125|||115|1706|7.25||
|Ruprecht 79|09 40 55|-53 51.0|0.155|34.89|10.31|192|1991|7.265||
|Ruprecht 84|09 49 08|-65 14.4|0.18|||171|1546|8.56||
|Ruprecht 85|10 01 41|-55 00.9|0.1|||90|1286|8.7||
|Ruprecht 88|10 18 48|-63 08.2|0.13|||80|1876|8.98||
|Ruprecht 89|10 28 26|-58 08.1|0.155|||89|750|8.98||
|Ruprecht 91|10 47 38|-57 28.2|0.135|5.44|5.75|61|1095|8.405|0.098|
|Ruprecht 93|11 04 12|-61 22.2|0.135|5.07|3.50|84|1619|8.755||
|Ruprecht 95|11 43 39|-61 09.3|0.08|||42|1634|8.495|0.020|
|Ruprecht 96|11 50 47|-62 09.0|0.125|||98|1251|9.06|0.020|
|Ruprecht 97|11 57 23|-62 42.6|0.09|-14.90|0.16|47|1537|8.65||
|Ruprecht 98|11 58 52|-64 35.3|0.28|-7.60|1.70|131|610|8.8||
|Ruprecht 99|12 03 29|-63 51.6|0.21|||120|719|8.375||
|SAI 1|00 08 27|+51 43.4|0.065|||19|1905|9.27||
|SAI 118|13 43 10|-63 09.6|0.14|||162|1602|7.3||
|SAI 149|23 38 03|+60 32.7|0.06|||38|1799|8.4||
|SAI 21|02 34 50|+62 35.3|0.09|||44|1900|8.95||
|SAI 24|02 59 28|+60 33.0|0.115|-40.00||54|1000|7.2||
|SAI 4|00 23 38|+62 42.6|0.067|-100.70||45|1600|8.8|0.069|
|SAI 47|05 23 56|+42 19.4|0.125|||82|1523|9.2||
|SAI 82|07 52 13|-33 02.4|0.11|||60|1436|8.65||
|Schuster 1|10 04 36|-55 51.4|0.077|||37|1863|6.8||
|Skiff J0619+18.5|06 19 22|+18 30.6|0.14|||174|1380|7.9||
|Skiff J2330+60.2|23 30 18|+60 14.8|0.14|||147|1801|8.4||
|Stephenson 1|18 54 04|+36 48.3|0.55|-27.47|6.39|175|373|7.52||
|Stephenson 2|18 39 40|-06 01.8|0.09|||26|1128|6.0||
|Stock 1|19 35 49|+25 10.5|0.35|||100|350|8.54|0.087|
|Stock 10|05 39 14|+37 48.3|0.415|-8.16||269|500|8.42||
|Stock 11|23 31 23|+55 48.8|0.108|||64|1600|9.086||
|Stock 12|23 35 35|+52 41.1|0.5|-18.60|4.10|145|430|8.45||
|Stock 13|11 12 59|-58 52.8|0.145|1.00|7.40|76|1577|7.37||
|Stock 18|00 01 35|+64 37.5|0.08|||32|774|8.68||
|Stock 2|02 14 38|+59 26.4|1.7|1.81|1.82|661|400|8.44||
|Stock 20|00 25 15|+62 36.1|0.14|||145|1100|8.337||
|Stock 21|00 30 15|+57 55.9|0.155|||168|1700|8.825||
|Stock 23|03 16 55|+60 00.9|0.28|-16.75|4.25|179|450|8.3||
|Stock 3|01 12 09|+62 15.5|0.11|-6.00||90|1363|7.85||
|Stock 4|01 53 08|+57 00.6|0.21|||120|900|8.6||
|Stock 5|02 04 33|+64 21.3|0.24|-19.30|0.70|233|1100|7.7||
|Stock 7|02 29 44|+60 40.5|0.145|-3.67|6.33|97|850|7.8||
|Teutsch 125|22 13 10|+58 58.6|0.1|||47|1445|9.1||
|Teutsch 126|22 13 45|+55 45.2|0.1|||69|1819|8.8||
|Teutsch 145|18 42 29|-05 15.0|0.105|||32|1762|8.725||
|Teutsch 162|02 47 40|+61 58.4|0.11|||37|1600|7.0||
|Teutsch 30|20 27 41|+36 04.5|0.08|||40|1379|7.5||
|Teutsch 39|22 36 37|+37 43.6|0.19|-19.50||33|600|7.7||
|Teutsch 61|07 34 39|-19 48.0|0.11|||90|1998|8.215|0.042|
|Teutsch 77|11 53 29|-62 36.3|0.11|||42|1920|7.7||
|Teutsch 79|13 23 39|-63 38.3|0.1|||49|1461|8.78||
|Teutsch 8|20 02 26|+35 18.4|0.075|||56|1668|7.5||
|Teutsch 85|17 13 12|-39 39.6|0.085|||44|1569|6.6||
|Tombaugh 5|03 48 04|+59 04.2|0.27|-5.80|0.30|688|1350|8.846|0.014|
|Trumpler 10|08 47 29|-42 24.0|0.39|15.00|15.00|291|417|7.38||
|Trumpler 12|10 06 32|-60 18.0|0.16|||103|1435|9.205||
|Trumpler 18|11 11 35|-60 39.9|0.16|-17.40|7.00|215|1422|7.69||
|Trumpler 19|11 14 15|-57 32.1|0.215|||210|1968|9.65||
|Trumpler 2|02 37 28|+55 57.0|0.44|-27.50|11.50|480|670|7.925||
|Trumpler 21|13 32 13|-62 48.0|0.16|-32.90||144|1270|7.85||
|Trumpler 22|14 30 56|-61 09.9|0.15|||187|1614|8.495|0.126|
|Trumpler 25|17 24 23|-39 01.0|0.16|||177|1818|8.35||
|Trumpler 26|17 28 32|-29 29.1|0.155|-9.61|0.16|26|1490|8.17|0.041|
|Trumpler 27|17 36 22|-33 31.2|0.25|-15.80|1.30|117|1266|7.58||
|Trumpler 28|17 37 01|-32 28.8|0.175|7.00||75|1474|6.6||
|Trumpler 29|17 41 29|-40 07.2|0.145|||110|1096|8.685|0.048|
|Trumpler 3|03 12 13|+63 09.0|0.47|-8.58|1.12|502|620|8.005||
|Trumpler 30|17 56 55|-35 16.2|0.19|||27|1982|8.35||
|Trumpler 31|17 59 44|-28 12.4|0.165|||12|830|8.635||
|Trumpler 32|18 17 11|-13 19.8|0.37|||382|1623|8.795||
|Trumpler 33|18 24 41|-19 43.2|0.11|-3.80|0.40|46|1282|7.84||
